id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_547010,547010,5470,state_co_1007,urban,"","",True
postal_083027,083027,0830,state_co_333,rural,"Malambito","",True
postal_253460,253460,2534,state_co_666,urban,"","",True
postal_205008,205008,2050,state_co_613,rural,"","",True
postal_685501,685501,6855,state_co_1118,urban,"","",True
postal_233049,233049,2330,state_co_642,rural,"","Bodega- Calle Larga-  Cruces Nuevas-  Las Barras-  Las Margaritas-  Pica Pica Nuevo",True
postal_682031,682031,6820,state_co_1096,urban,"","",True
postal_683528,683528,6835,state_co_1102,rural,"","Pedregal Arriba",True
postal_252847,252847,2528,state_co_754,rural,"","CAPOTES- CERRO DE LA MATA-  GALLINAZO-  LA PARADA-  LA TETE-  MALBERTO-  SANTA ROSA-  SANTUARIO-  SOLETO-  VILLA",True
postal_476020,476020,4760,state_co_858,urban,"","",True
postal_540003,540003,5400,state_co_977,urban,"Ceiba 2- Ciudad Jardín- Colsag- Condado de Castilla- El Bosque- Govica- Gratamira- Guaimaral- La Capillana- La Castellana- La Ceiba- La Merced- La Riviera- Las Almeidas- Lleras Restrepo- Los Acacios- Los Pinos- Manolo Lemus- Paraíso- Parque de Las Brisas-","",True
postal_272020,272020,2720,state_co_782,urban,"","Cabecera Municipal- Cértegui",True
postal_176001,176001,1760,state_co_543,urban,"","La Floresta",True
postal_250601,250601,2506,state_co_707,urban,"","",True
postal_684051,684051,6840,state_co_1076,urban,"","",True
postal_251267,251267,2512,state_co_757,rural,"","BETANIA- CASCADAS-  CASCAJAL-  DIAMANTE-  EL CARTUCHO-  Hatogrande-  LA MESA-  LAGUNA AZUL-  LAS MERCEDES-  MARGARITA-  PEÑAS BLANCAS-  REPRESA DEL GUAVIO-  RIONEGRO-  ROBLEDAL-  SAN ANTONIO DE UBALA-  SAN FERNADO-  SAN JOSE-  SAN LUIS-  SAN PABLO-  SAN P",True
postal_730588,730588,7305,state_co_1200,rural,"","Calda Viejo- El Barro-  La Argelia-  Limones-  Palmar Alto",True
postal_853059,853059,8530,state_co_1260,rural,"","Corea- El Mango-  Fronteras-  Gaviotas Agua Verde-  Guayanas-  Matanegra-  Paso Real de Guarimena-  Santa Helena",True
postal_134077,134077,1340,state_co_370,rural,"","Ariguaní Grande- Ariguanicito-  Arizá-  Bocachico-  El Avión-  Horneras-  La Ahuyama-  La Dorada-  La Guinea-  La Marmota-  La Revesa-  La Revesa-  La Yuca-  Las Campanas-  Las Chanas-  Mala Noche-  Mantequera-  Plan Bonito-  Platanal-  Pueblo Lindo-  Pue",True
postal_762520,762520,7625,state_co_1244,urban,"Bolívar- Ciudad Jardín- El Placer- El Quindío- Gonzalo Echeverry- Guamal- La Esperanza- La Inmaculada- La Valvanera- Las Mercedes- Libraida- Pama- Quinto Centenario- San Rafael- Sector Central- Urbanización Ana María- Urbanización Los Almendros- Urbanizac","",True
